거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
51000,1993,2018,분당동,장안타운(건영),8,1~10,70.68,66,41135,1
39000,1993,2018,분당동,장안타운(건영),8,1~10,53.72,66,41135,2
70000,1992,2018,분당동,샛별마을(동성),8,1~10,84.82,35,41135,10
75000,1993,2018,분당동,장안타운(건영),8,1~10,131.55,66,41135,7
48500,1992,2018,분당동,샛별마을(라이프),8,1~10,58.17,34,41135,7
61000,1994,2018,분당동,장안타운(건영),8,1~10,85.0,66,41135,4
53800,1992,2018,분당동,샛별마을(삼부),8,1~10,59.82,39,41135,1
68000,1994,2018,분당동,샛별마을(우방),8,11~20,72.32,38,41135,17
54500,1993,2018,분당동,장안타운(건영),8,11~20,70.68,66,41135,10
47700,1992,2018,분당동,샛별마을(라이프),8,11~20,58.17,34,41135,6
55000,1994,2018,분당동,샛별마을(우방),8,11~20,57.28,38,41135,6
73000,1992,2018,분당동,샛별마을(삼부),8,11~20,84.6,39,41135,6
74925,1992,2018,분당동,샛별마을(삼부),8,11~20,84.6,39,41135,12
55000,1994,2018,분당동,샛별마을(우방),8,11~20,57.28,38,41135,5
50500,1994,2018,분당동,샛별마을(우방),8,11~20,57.28,38,41135,4
85400,1993,2018,분당동,샛별마을(라이프),8,11~20,126.415,34,41135,16
85500,1993,2018,분당동,샛별마을(라이프),8,11~20,126.415,34,41135,6
50000,1992,2018,분당동,샛별마을(동성),8,11~20,59.4,35,41135,1
70000,1993,2018,분당동,샛별마을(라이프),8,11~20,84.99,34,41135,5
54000,1993,2018,분당동,장안타운(건영),8,11~20,70.68,66,41135,10
54700,1993,2018,분당동,장안타운(건영),8,11~20,70.68,66,41135,11
78000,1994,2018,분당동,샛별마을(우방),8,11~20,84.99,38,41135,11
50000,1994,2018,분당동,샛별마을(우방),8,11~20,57.28,38,41135,13
52000,1994,2018,분당동,샛별마을(우방),8,11~20,57.28,38,41135,1
41000,1993,2018,분당동,장안타운(건영),8,11~20,53.72,66,41135,5
72000,1993,2018,분당동,장안타운(건영),8,11~20,131.55,66,41135,10
74000,1992,2018,분당동,샛별마을(라이프),8,11~20,85.0,34,41135,11
64700,1994,2018,분당동,장안타운(건영),8,11~20,85.0,66,41135,14
71000,1992,2018,분당동,샛별마을(라이프),8,11~20,85.0,34,41135,12
63000,1993,2018,분당동,장안타운(건영),8,11~20,85.0,66,41135,3
51000,1992,2018,분당동,샛별마을(동성),8,11~20,59.4,35,41135,10
70800,1992,2018,분당동,샛별마을(라이프),8,11~20,85.0,34,41135,3
79500,1992,2018,분당동,샛별마을(삼부),8,11~20,84.6,39,41135,2
71000,1992,2018,분당동,샛별마을(라이프),8,11~20,85.0,34,41135,11
54000,1993,2018,분당동,장안타운(건영),8,21~31,70.68,66,41135,4
49400,1993,2018,분당동,장안타운(건영),8,21~31,67.73,66,41135,11
75000,1993,2018,분당동,샛별마을(라이프),8,21~31,84.99,34,41135,20
