거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
82000,1994,2018,분당동,샛별마을(우방),1,1~10,133.86,38,41135,20
66000,1993,2018,분당동,장안타운(건영),1,1~10,131.55,66,41135,15
82000,1994,2018,분당동,샛별마을(우방),1,1~10,101.96,38,41135,11
47900,1992,2018,분당동,샛별마을(동성),1,1~10,59.4,35,41135,9
56250,1993,2018,분당동,장안타운(건영),1,1~10,85.0,66,41135,8
42500,1992,2018,분당동,샛별마을(라이프),1,1~10,58.17,34,41135,8
85000,1993,2018,분당동,샛별마을(동성),1,1~10,133.65,35,41135,5
46000,1992,2018,분당동,샛별마을(동성),1,1~10,59.4,35,41135,10
66000,1992,2018,분당동,샛별마을(라이프),1,1~10,85.0,34,41135,7
65000,1992,2018,분당동,샛별마을(삼부),1,1~10,84.6,39,41135,8
64800,1993,2018,분당동,샛별마을(라이프),1,1~10,85.0,34,41135,4
84000,1994,2018,분당동,샛별마을(우방),1,1~10,101.96,38,41135,6
57000,1994,2018,분당동,장안타운(건영),1,1~10,85.0,66,41135,15
53600,1993,2018,분당동,장안타운(건영),1,1~10,85.0,66,41135,7
80500,1994,2018,분당동,샛별마을(우방),1,1~10,101.96,38,41135,9
107000,1994,2018,분당동,샛별마을(우방),1,1~10,185.62,38,41135,11
48000,1992,2018,분당동,샛별마을(삼부),1,1~10,59.82,39,41135,2
68000,1993,2018,분당동,샛별마을(라이프),1,1~10,89.8,34,41135,20
49000,1993,2018,분당동,장안타운(건영),1,1~10,70.68,66,41135,7
73000,1994,2018,분당동,장안타운(건영),1,1~10,162.85,66,41135,2
50000,1992,2018,분당동,샛별마을(삼부),1,11~20,59.82,39,41135,4
72000,1992,2018,분당동,샛별마을(라이프),1,11~20,85.0,34,41135,9
70000,1993,2018,분당동,샛별마을(삼부),1,11~20,128.09,39,41135,23
70000,1992,2018,분당동,샛별마을(삼부),1,11~20,84.6,39,41135,10
64000,1993,2018,분당동,샛별마을(라이프),1,11~20,84.99,34,41135,2
33800,1993,2018,분당동,장안타운(건영),1,11~20,53.72,66,41135,1
51400,1993,2018,분당동,장안타운(건영),1,11~20,70.68,66,41135,7
35000,1993,2018,분당동,장안타운(건영),1,11~20,53.72,66,41135,8
69700,1994,2018,분당동,장안타운(건영),1,11~20,131.55,66,41135,11
59950,1994,2018,분당동,장안타운(건영),1,11~20,85.0,66,41135,16
63000,1993,2018,분당동,장안타운(건영),1,11~20,85.0,66,41135,9
58000,1994,2018,분당동,장안타운(건영),1,11~20,85.0,66,41135,3
72000,1994,2018,분당동,장안타운(건영),1,11~20,131.55,66,41135,5
34500,1993,2018,분당동,장안타운(건영),1,11~20,53.72,66,41135,5
49000,1993,2018,분당동,장안타운(건영),1,21~31,70.68,66,41135,5
72000,1993,2018,분당동,샛별마을(삼부),1,21~31,128.09,39,41135,23
46000,1994,2018,분당동,샛별마을(우방),1,21~31,57.28,38,41135,14
38000,1993,2018,분당동,장안타운(건영),1,21~31,53.72,66,41135,6
69000,1993,2018,분당동,장안타운(건영),1,21~31,131.55,66,41135,5
53000,1993,2018,분당동,장안타운(건영),1,21~31,70.68,66,41135,11
51000,1992,2018,분당동,샛별마을(삼부),1,21~31,59.82,39,41135,4
79500,1993,2018,분당동,샛별마을(라이프),1,21~31,126.415,34,41135,5
73000,1992,2018,분당동,샛별마을(동성),1,21~31,84.82,35,41135,5
75000,1993,2018,수내동,푸른마을(신성),1,1~10,84.72,73,41135,14
90000,1993,2018,수내동,파크타운(서안),1,1~10,134.91,52,41135,15
82000,1993,2018,수내동,파크타운(대림),1,1~10,84.6,51,41135,7
77000,1992,2018,수내동,푸른마을(신성),1,1~10,101.82,73,41135,2
64700,1993,2018,수내동,파크타운(대림),1,1~10,84.78,51,41135,23
49800,1992,2018,수내동,푸른마을(신성),1,1~10,59.78,73,41135,5
41000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,42.56,24,41135,7
35200,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,35.1,24,41135,4
99000,1993,2018,수내동,파크타운(롯데),1,1~10,134.91,55,41135,15
89900,1993,2018,수내동,파크타운(서안),1,1~10,101.91,52,41135,3
52800,1992,2018,수내동,푸른마을(쌍용),1,1~10,59.78,75,41135,2
96500,1992,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,134.55,24,41135,1
99000,1993,2018,수내동,파크타운(롯데),1,1~10,134.91,55,41135,23
90000,1993,2018,수내동,파크타운(대림),1,1~10,101.91,51,41135,18
125000,1992,2018,수내동,양지마을(2단지)(청구),1,1~10,197.778,32,41135,17
137000,1992,2018,수내동,양지마을(2단지)(청구),1,1~10,173.965,32,41135,20
75000,1993,2018,수내동,파크타운(서안),1,1~10,84.6,52,41135,11
94800,1992,2018,수내동,푸른마을(벽산),1,1~10,131.4,71,41135,8
41000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,42.56,24,41135,6
74000,1993,2018,수내동,파크타운(서안),1,1~10,84.6,52,41135,2
109000,1992,2018,수내동,양지마을(2단지)(청구),1,1~10,134.8,32,41135,5
76000,1993,2018,수내동,파크타운(서안),1,1~10,84.6,52,41135,7
53000,1993,2018,수내동,양지마을(금호1),1,1~10,59.625,32,41135,12
123000,1992,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,200.61,24,41135,13
75000,1993,2018,수내동,파크타운(삼익),1,1~10,84.6,54,41135,13
73400,1993,2018,수내동,푸른마을(신성),1,1~10,84.72,73,41135,9
99500,1993,2018,수내동,파크타운(서안),1,1~10,134.91,52,41135,5
100000,1993,2018,수내동,파크타운(서안),1,1~10,134.91,52,41135,4
46800,1993,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,59.76,24,41135,10
86000,1992,2018,수내동,푸른마을(쌍용),1,1~10,131.4,75,41135,3
104000,1993,2018,수내동,파크타운(삼익),1,1~10,134.91,54,41135,27
85000,1992,2018,수내동,양지마을(금호1),1,1~10,84.9,32,41135,11
102800,1992,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,134.55,24,41135,12
92500,1993,2018,수내동,파크타운(대림),1,1~10,134.413,51,41135,1
48000,1993,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,59.4,24,41135,11
96000,1993,2018,수내동,푸른마을(벽산),1,1~10,163.83,71,41135,3
34800,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,35.1,24,41135,12
41000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,42.56,24,41135,10
76000,1993,2018,수내동,푸른마을(신성),1,1~10,84.72,73,41135,13
89000,1993,2018,수내동,파크타운(대림),1,1~10,101.835,51,41135,4
96000,1992,2018,수내동,양지마을(3단지)(금호),1,1~10,134.48,27,41135,20
95000,1993,2018,수내동,파크타운(삼익),1,1~10,131.49,54,41135,14
100000,1992,2018,수내동,양지마을(2단지)(청구),1,1~10,134.8,32,41135,2
87000,1992,2018,수내동,양지마을(3단지)(금호),1,1~10,101.91,27,41135,7
84000,1993,2018,수내동,파크타운(삼익),1,1~10,101.835,54,41135,12
95000,1992,2018,수내동,양지마을(3단지)(금호),1,1~10,134.48,27,41135,17
109700,1992,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,134.55,24,41135,11
49800,1992,2018,수내동,푸른마을(쌍용),1,1~10,59.78,75,41135,4
40500,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,42.56,24,41135,10
81600,1993,2018,수내동,푸른마을(벽산),1,1~10,101.82,71,41135,7
102000,1992,2018,수내동,양지마을(금호1),1,1~10,133.82,32,41135,7
46500,1993,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,59.76,24,41135,14
69000,1993,2018,수내동,파크타운(서안),1,1~10,84.6,52,41135,3
73000,1993,2018,수내동,푸른마을(신성),1,1~10,84.72,73,41135,7
95000,1992,2018,수내동,양지마을(3단지)(금호),1,1~10,134.48,27,41135,3
40500,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,42.56,24,41135,2
88000,1992,2018,수내동,양지마을(3단지)(금호),1,1~10,101.91,27,41135,10
36000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,35.1,24,41135,8
78000,1993,2018,수내동,파크타운(삼익),1,1~10,84.6,54,41135,8
36000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,1~10,35.1,24,41135,5
47000,1992,2018,수내동,양지마을(2단지)(청구),1,1~10,55.44,32,41135,8
88900,1992,2018,수내동,양지마을(5단지)(한양515-529),1,1~10,101.93,24,41135,5
84000,1992,2018,수내동,푸른마을(벽산),1,1~10,101.82,71,41135,5
83000,1992,2018,수내동,푸른마을(벽산),1,11~20,101.82,71,41135,6
37000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,11~20,35.1,24,41135,9
39900,1993,2018,수내동,양지마을(5단지)(한양501-514),1,11~20,42.56,24,41135,2
125000,1993,2018,수내동,양지마을(금호1),1,11~20,164.25,32,41135,18
130000,1992,2018,수내동,양지마을(5단지)(한양515-529),1,11~20,200.61,24,41135,13
48000,1993,2018,수내동,양지마을(5단지)(한양515-529),1,11~20,59.4,24,41135,13
86000,1993,2018,수내동,파크타운(롯데),1,11~20,101.91,55,41135,4
36800,1993,2018,수내동,양지마을(5단지)(한양501-514),1,11~20,35.1,24,41135,13
125000,1992,2018,수내동,양지마을(2단지)(청구),1,11~20,173.965,32,41135,5
130000,1992,2018,수내동,양지마을(2단지)(청구),1,11~20,173.965,32,41135,19
97000,1992,2018,수내동,양지마을(3단지)(금호),1,11~20,134.48,27,41135,5
112500,1993,2018,수내동,파크타운(대림),1,11~20,134.413,51,41135,7
49500,1993,2018,수내동,양지마을(5단지)(한양515-529),1,11~20,59.4,24,41135,12
39500,1993,2018,수내동,양지마을(5단지)(한양501-514),1,11~20,42.56,24,41135,1
100000,1993,2018,수내동,파크타운(롯데),1,11~20,131.49,55,41135,3
38000,1993,2018,수내동,양지마을(5단지)(한양501-514),1,11~20,42.56,24,41135,1
140000,1993,2018,수내동,양지마을(금호1),1,11~20,198.45,32,41135,18
